Model	Glucose	Acetate	Pyruvate	Lactate	Succinate
AALB	0.263459509	0.808625496	0.519450778	0.524189847	0.389588084
ACC003	0.262441186	0.806371888	0.519450778	0	0.389588084
ACC005	0.356784887	1.070354662	0.712424569	0	0.534318427
ACC007	0.358004576	1.074013728	0.714548529	0	0.535911397
ACC012	0.160368041	0.481104123	0.320736082	0	0.240552061
AMR_MDS_0334	0.276335122	0.854516217	0.52830038	0.533105839	0.396180688
AMR_MDS_0347	0.202638639	0.607915917	0.405277278	0	0.303957959
AMR_MDS_0531	0.356215881	1.068647642	0.712313201	0.712431761	0.534323821
AMR_MDS_0563	0.160368041	0.481104123	0.320736082	0	0.240552061
AMR_MDS_0653	0.35817858	1.074535739	0.714928833	0	0.536196625
